"scientificName","Ecology","Biology","Dispersal"
"Amblycheila baroni Rivers, 1890","Ecology. Stenotopic, saxicolous, xerophilous, pholeophilous, crepuscular, epigean-fossorial (adult), fossorial (larva). Woodland (juniper, oak) canyons and craggy montane peaks: base of cliffs and boulders. Somewhat shaded ground, dry rocky soil. Larval habitat: A woodland canyon. Crepuscular: hides during the day in self constructed burrows, rodent burrows, rarely under large stones or logs. Gregarious.","Biology. Seasonality: June, July (mostly), September. Third-instar larvae: July. Adult food, in the laboratory: tenebrionid adults and larvae, drosophilid flies, and other insects. Larval food, in the laboratory: tenebrionid larvae. Larval parasites: bombyliid flies. Defense mechanism: Retreating to deep rocky fissures when disturbed. Best collected by bait trapping or pitfall trapping.","Dispersal power. Subapterous. Slow runner."
"Amblycheila cylindriformis (Say, 1823)","Ecology. Eurytopic, steppicolous, xerophilous, pholeophilous, myrmecophilous, crepuscular, epigean-fossorial (adult), fossorial (larvae). Banks, cliffs, gullies, ravines, ditches, and river bluffs Situated in hilly prairies, grasslands, cultivated lands, and pastures. Open ground, sloping, well-drained, dry, clayey (rarely sandy or rocky), bare or sparsely vegetated soil. Adults tend to walk at night in the vicinity of animal burrows or mesquite clumps, near the bases of or along the sides of clay banks. Larval habitat: Dry, clay banks and cliffs, often near mammal burrows, larval burrows (35-97.5 cm deep) nearly vertical for about 45 cm, turning to a subhorizontal position in their lower part, each larval colony limited to a 25 cm radius and usually consisting of 2 to 11 individuals. Nocturnal, mostly crepuscular, occasionally active on warm cloudy afternoons, usually hiding in the daytime and on cold days in self-constructed burrows, rodent burrows (gopher, kangaroo rat, badger), rattlesnake burrows, ant mounds, sometimes in yucca clumps and under stones or other objects, larva coming near the soil surface after sundown or earlier on cloudy days. Associated species: Pasimachus (carabids) and Eleodes (tenebrionids).","Biology. Seasonality: May-September. in KS, mostly June. Summer species. Mating: May. Oviposition: Groups of one to two dozen eggs deposited near the soil surface. Third-instar larvae: May and August. Omnivorous, predaceous, necrophagous. Adult food, in the field: caterpillars, acridid nymphs, cerambycids, scarabaeids, tenebrionids, ants, spiders, dead insects, carrion, and dried yucca petals. Noise of individuals shredding yucca petals can be heard at quite a distance. Adults sometimes cannibalistic. Adult food, in the laboratory: caterpillars, locusts, other insects, and fresh meat. Larval food, in the field: Ants and other insects (e.g., an adult Cicindela). Sight very poor. Predators: skunks, birds, and spiders. Defense mechanism: immediately retreating underground when emerging from its burrow and seeing movement; making no attempt to escape when disturbed outside of its burrow; sometimes delivering a painful bite when captured. Best collected with a flashlight in the earliest part of a warm, calm evening or by baiTier pitfall trapping. Not shy.","Dispersal power. Subapterous. Slow runner. When on the move, raising body very high and keeping the antennae in constant motion. Note. Before it was known to be nocturnal, the species was considered a rarity and commonly valued at 15 to 20 dollars each; for instance, the type of the beetle was sold for $300 by Thomas Say, and the second specimen, captured about 20 years later, was purchased for $50. By trading several hundreds specimens of this valuable tiger beetle as high as 25 dollars each, the well-known Professor F.H. Snow of the University of Kansas at Lawrence, the discoverer of its favorite haunt, was able both to consolidate an important general beetle collection at his university, and provide his collecting students a substantial amount of money to cover their university expenses for a whole year. As soon as the nocturnal habits of this species became known to the public, the price immediately went down to 50 cents per specimen."
"Amblycheila hoversoni Gage, 1991","Ecology. Stenotopic, silvicolous, psammophilous, pholeophilous, nocturnal, epigean- fossorial (adult). Mostly scrublands; also rangelands. Mostly shaded ground; well-drained, moist or dry, sandy soil mixed with silt and clay. Nocturnal; active after midnight; hiding during the day in animal burrows and leaf litter.","Biology. Seasonality: April-November, except June. Predaceous. Adult food, in the field: adult and larvae of camel crickets, spiders, and other arthropods. Adult food, in the laboratory: caterpillars, crickets, beetles, millipedes, and centipedes. Predators: various birds.","Dispersal power. Subapterous. Slow runner."
"Amblycheila picolominii Reiche, 1839","Ecology. Stenotopic, xerophilous, saxicolous, epigean. Rocky areas. Open ground; bare, dry, rocky soil. Nocturnal; seen active at dusk.","Biology. Seasonality: April-July.","Dispersal power. Subapterous. Slow runner."
"Cicindela dorsalis media LeConte, I857","Ecology. Stenotopic, coastal, hygrophilous, psammophilous, halophilous, epigean (adult); fossorial (larva). Sea beaches. Open ground; wet, sandy, bare soil. Adults tend to occur between the lower and middle beach areas. Larval habitat: burrows (30-45 cm deep) dug into clean sand, outside of shrubs; probably ~nunda~ed by the highest tides. Both diurnal and nocturnal; becommg act1~e at 9:00 A.M. and being everywhere at 9:30 A.M. (SC). Greganous, although less than C. dorsalis dorsalis; sometimes swarming by the hundreds. Associated species: C. marginata.","Biology. Seasonality: April-October, mostly July. Summer species. Duration of life cycle: Possibly 1 year. Duration of copulation: 6.2 mm. on average. Tenerals: May-July. Adult food, in the laboratory: tenebnomds and meat. Defense mechanism: cryptic coloration - body _color darker than c. dorsalis dorsalis and blending perfectly w1th _the dark backsoil consisting of abundant shell debris; escape by flymg when pursued. Mimics the tabanid fly, Aegialomyia psammophila; same resting position, wing color markmgs, body s1ze, and hab1tat. Wary. Difficult to approach.","Dispersal power. Macropterous. Good flier. Attracted to artificial lights at night. Fast runner. Conservation status. Threatened subspecies. Extirpated at both the southern and the northern limits of its geographic distribution due to heavy vehicular and pedestrian traffic.",
"Cicindela dorsalis saulcyi Guerin-Meneville, 1840","Ecology. Stenotopic, coastal, hygrophilous, psammophilous, halophilous, epigean (adult); fossorial (larva). Sea beaches. Open ground; wet, bare soil consisting of fine wh1te sand. Dmrnal. L~rval habitat: burrows dug into moist sandy beaches. Greganous, occurring in swarms.","Biology. Seasonality: April, June-August, October, but mostly July- August. Escape by flying. Moderately wary.","Dispersal power. Macropterous. Good flier. Fast runner.",
"Cicindela dorsalis venusta LaFerte-Senectere, 1841","Ecology. Stenotopic, coastal, hygrophilous, psammophilous, halophilous, epigean (adult); fossorial (larva). Sea beaches. Close to the water's edge. Open ground; wet, sandy, bare soil. Larval habitat: burrows (30-45 cm deep) dug in clean, moist sand, outside of shrubs, and seemingly inundated by the highest tides. Diurnal. Solitary or semi-gregarious.","Biology. Seasonality: April-September. Defense mechanism: escape by flying long distances, sometimes often 50 m long.","Dispersal power. Macropterous. Strong flier. Fast runner.",
"Cicindela duodecimguttata Dejean, 1825","Ecology. Eurytopic, riparian, psammophilous, hygrophilous, halotolerant, thermophobous, heliophilous, epigean (adult) fossorial (larva). Banks and bars along slow-moving rivers and brooks; edges of pools and ponds; lake shores, roadside ditches; sand pits and gravel pits even with temporary waters; roads, paths, openings, and wet spots situated in marshes, sloughs, bogs, and wet meadows; alkali flats and mud flats. Open ground; horizontal to steep, dark, wet, sometimes alkaline, bare or almost bare soil consisting of sand (often mixed with humus), clay, mud or, more rarely, fine gravel. Larval habitat: vertical slopes of stream banks; highly aggregated burrows (third- instar, 6-10 cm deep) dug into humus, clay or sand; larva leaves its burrow when the soil gets too dry, in search of sufficiently moist situations. Mostly diurnal; tends to occur on dry upper banks in early morning, then moves to moist areas of stream edges during the hottest part of the day; hides for the night and on cloudy days in self-constructed burrows or under dead leaves. Gregarious, though less than C. repanda repanda with which it occurs.","Biology. Seasonality: March- October, with stragglers in midsummer. Spring-fall species. Duration of life cycle: 2 years. Mating: MayJuly; copulation lasting 2.8 min.; interspecific copulation observed with C. repanda repanda and C. oregona oregona. Oviposition: in clayey areas of stream edges. Pupation: August.Tenerals: JulyAugust. Overwinters both in the adult and larval stages, in burrows situated 1 to 4 m from the water's edge; adult burrows {15-50 cm deep) dug into stream or pond banks consisting of dry sand, clay, gravel or humus; larval burrows (15-30 cm deep) dug in similar habitat. Predaceous, necrophagous. Adult food, in the field: dead insects, small flies, and pygmy mole crickets. Adult food, in the laboratory: mealworrns, flies, an ant, and lean meat. Larval food, in the laboratorv: lean meat. Predators: flycatchers and asilid flies. Hibernating ·larvae and adults sometimes dying from habitat flooding. Defense mechanism: cryptic coloration - elytral color blends with the wet sand or sand covered with mud; produces a musky scent when captured; escapes by flying and running when pursued; flies on average within 2.16 m, at the slightest disturbance. Wary. Difficult to approach.","Dispersal power. Macropterous. Good flier. Attracted to artificial lights at night. Fast runner. Seen swimming several times across small pools. Early to colonize new construction sites.",
"Cicindela fera Chevrolat, 1834","Ecology. Stenotopic, riparian, psammophilous, hygrophilous, halotolerant, epigean. River banks and sand bars, sea beaches, and drainage ditches. Open ground; wet, sandy (mostly) or muddy, sometimes saline soil. Diurnal.","Biology. Seasonality: August.","Dispersal power. Wing condition unknown. Fast runner.",
"Cicindela formosa formosa Say, 1817","Ecology. Stenotopic, xerophilous, psammophilous, thermophilous, heliophilous, epigean (adult); fossorial (larva). Sand dunes, sand hills, blowouts, flats, banks, ditches, roads, and forested dunes (cottonwood). Open ground; well-drained, dry, sandy soil sparsely vegetated with grass or weeds. Adults tend to occur at the edges of sand dunes and blowouts, among the vegetation close to fringing bare areas or near the stems of sparse vegetation. Larval habitat: Sand dunes; burrows (about 33 cm deep) vertical, with a pit similar to. that of C. formosa generosa, also used for trapping small insects. Dmrnal.; be~oming active at 15-20°C; usually very active, hunting ~nd flymg m the. hot sunshine, between 9:30A.M. and 12:20 P.M.; h~hter morph With more extensive pale maculations spends less time ~iggi~g to escape the heat than dark morph: Gregarious, occumng m large numbers. Associated species: C. scutellaris scutellaris and C. lengi lengi.","Biology. Seasonality: March-October. Generally a spring-fall species with a gap in August, a summer species in NE. Mating: April-June. Coitus lasts 7-10 min.; interspecific copulation with C. scute!!aris rugata. Larva closes its burTow in the summer. Pupation: August (TX). Overwinters in burrows (adult, 10-30 cm deep; larva, up to 3 m deep) dug mto the sides of sand dunes. Adult sometimes slow to emerge in the spring due to the slow heating of deeper sand. Preda~eous. Adult food, in the field: ants, acridids, carabids, and other insects. Predators: asilid flies. Defense mechanism: escapes by ~ymg, usually not very far (6.44 m on average) and soon returns to Its plant cover. Very wary; takes alarm easily.","Dispersal power. Macropterous. Regular, strong flier; when flying, it produces a loud buzz like that of a bumblebee. Fast runner. Agile.",
"Cicindela formosa generosa Dejean, 1831","Ecology. Stenotopic. xerophilous, psammophilous, thennophobous, h~hophobous, epigean (adults); fossorial (larva). Sand dunes, sand hills, blowouts, swales, old sand pits, fields, little-used roads, and open paths; trails, paths, roads, open spots, and clearings through scrublands and forests (pine, oak); larger sand-bar deposits and terraces along rivers. Open ground; soil consisting of well- drained dry, loose sand and with sparse vegetation. Species tends to occur i~ sandy situ~tions just commencing to stabilize with scant vegetation. Larval hab1tat: sand dunes near bunch grass or trees, in well-drained, loose sand; burrows (30-197.5 cm deep) mostly vertical, but about 2 cm below the soil surface, opening horizontally into a small cup-like pit. Diurnal; active at l8°C; escapes from high temperatures by burrowing into the sand; extensive elytral maculations reduces ?ody heat. Gregarious, sometimes swarming by the hundreds. Associated species: C. scutellaris lecontei.","Biology. Seasonality: April-October, with stragglers in sum:ner; in ~J, mostly May and September. Spring-fall species. DuratiOn of life cycle: 2-3 years. Mating: May-July. Oviposition: May-July, in slightly shifting, fresh sand. Duration of larval life: 12-24 months. Pupation: June-July, in a cavity dug obliquely from the burrow at about 10 cm below the soil surface. Tenerals: August-September; sexual maturity of individuals reared in the laboratory was reached in April-May, after hibernation in pupal chambers. Overwintering both in the adult and larval (third instar) stages, in burrows (10-120 cm and 30-200 cm deep respectively) dug into the sand in rather sheltered ground, e.g., south slopes of sand hills. Larva closes its burrow in late September - early October for hibernation. Duration of adult life: 10-12 months. Predaceous. Adult food, in the field: ants carabids and chrysomelids. Adult food, in the laboratory: carabids, cidindelines, cantharids, cerambycids, scarabaeids, staphilinids, mealworms, flies, earthworms, mollusks, and lean meat. Larval food, in the field: ants. Larval food, in the laboratory: lean meat. Predators: asilids. Defense mechanism: cryptic coloration - dark brown elytra blending with the brown sandstone pebbles and leaf debris lying on the surface of sand dunes; flying out of sight, sometimes up to 1 00 m at a stretch, when pursued; emitting a ;nusky scent or causing a painful bite when captured. Very war;. Difficult to approach. Captured in malaise traps.","Dispersal power. Macropterous. Strong flier. Odd habit of tumbling when it lands. Fast runner.",
"Cicindela formosa gibsoni Brown, 1940","Ecology. Stenotopic, steppicolous, xerophilous, psammophilous, thermophilous, epigean. Sand hills, sand dunes, blowouts, and roadcuts. Open ground; well- drained, dry, sparsely vegetated soil consisting of loose shifting sand. Diurnal; active for longer periods in the heat but basking longer in cool weather, due to its extensive light elytral maculations. Gregarious, occurring in large numbers. Associated species: C. lengi lengi, C. limbata nympha, and C. scutellaris yampae.","Biology. Seasonality: May-August; in CO, mostly June. Spring-fall spectes. Predaceous. Adult food, in the field: ants and a sphecid wasp. Defense mechanism: cryptic coloration - body color and wide pale elytral maculations blend with the pale sand; escapes by flight when pursued; flies upward when netted.","Dispersal power. Macropterous. Strong flier. Fast runner. Agile.",
"Cicindela formosa pigmentosignata W. Hom, 1930","Ecology. Stenotopic, xerophilous, psammophilous, epigean. Sand dunes, fields, and roads, even those passing through pine forests. Open ground; well-drained, dry, bare or sparsely vegetated soil consisting of pure whitish sand peppered with fragments of sandstone. Diurnal.","Biology. Seasonality: April and September. Defense mechanism: cryptic coloration - body color blending with fragments of red-purple sandstone lying on the white sand.","Dispersal power. Macropterous. Good flier. Fast runner.",
"Cicindela formosa rutilovirescens Rumpp, 1986","Ecology. Stenotopic, xerophilous, psammophilous, epigean. Sand dunes and blowouts from low sand hills covered with short scrub oak. Open ground; well-drained, light, dry, bare sand. Diurnal.","Biology. Seasonality: May and September.","Dispersal power. Macropterous. Good flier. Fast runner.",
"Cicindela fulgida fulgida Say, 1823","Ecology. Eurytopic, steppicolous, xerophilous, heliophilous, halophilous, epigean (adult); fossorial (larva). Alkali flats, salt flats, salt marshes, alkaline ditches, small alkaline spots m prames, salme spots in pastures, fields, and along roadsides; alkaline banks and shores of streams, lakes, ponds, and sloughs; coulees and badlands. Open ground; often hard, usually dry (sometimes wet), m~ddy (sometimes sandy), saline soil covered with short sparse vegetatiOn. Adults tend to occur at the fringe of vegetation, often consisting of grass clumps and shrubs. Larval habitat: among the vegetation in the vicinity of hummocks, at the margin of small flats, and along sloping stream banks; burrows (second instar) about ~3 cm de.ep. Diurnal; active from early morning; on rainy days, etther staymg motionless and then easily captured by hand or hiding in round holes in the ground. Gregarious. Associated species: C. circumpicta johnsonii, C. marutha, and C. nevadica knausii.","Biology. Seasonality: April-October, mostly June-July. Spring-fall species. Overwintering at least in the adult stage. Predaceous. Adult food, in the field: ants, acridids, other insects, and sptders. Defense mechanism: prefers to run rapidly through the vegetation instead of flying when pursued; if escaping by flight, it takes short erratic flights in the open and then hurries back to the vicinity of grass and small shrubs. Not particularly wary.","Dispersal power. Macropterous. Good flier. Fast runner. Very active.",
"Cicindela fulgida pseudowillistoni W. Hom, 1938","Ecology. Stenotopic, halophilous, epigean. Mud flats bordering a lake. Open ground; soft, almost dry, muddy, alkaline soil vegetated with short grass. Adults tend to occur at the grassy border of gypsum flats. Diurnal; active around midday. Gregarious.","Biology. Seasonality: May - June, September. Spring-fall species. Defense mechanism: when it senses danger, it squats down close to the ground before it runs or flies; otherwise it sits motionless in the grass; prefers to scurry rather than fly; takes flight in a clumsy manner. Not particularly wary.","Dispersal power. Macropterous. Good flier. Fast runner. Very active.",
"Cicindela fulgida rumppi Knudsen, 1985","Ecology. Stenotopic, halophilous, psammophilous, heliophilous, epigean. Alkaline situations. Open ground; sandy, alkaline, crusty soil covered with low vegetation. Diurnal; hides during cloudy days under alkaline crusts elevated on vegetation.","Biology. Seasonality: Unknown. Defense mechanism: cryptic coloration - body color, with its wide maculations, blends with the surrounding white sand.","Dispersal power. Macropterous. Fast runner.",
"Cicindela fulgida westbournei Calder, 1922","Ecology. Stenotopic, steppicolous, halophilous, epigean. Alkali flats. Open ground; alkaline, soil with bare areas surrounded by grass or sparsely vegetated. Diurnal. Associated species: C. tranquebarica tranquebarica.","Biology. Seasonality: June-August. Mating: July. Defense mechanism: when disturbed, flies a certain distance and, after a while, comes back to its starting point; or else flies from one bare spot to another.","Dispersal power. Macropterous. Strong flier. Fast runner.",
"Cicindela fulgida williamlarsi Knudsen, 1985","Ecology. Stenotopic, hygrophilous, halophilous, paludicolous, epigean. Salt marshes and alkaline situations along a river. Open ground; moist, alkaline soil. Diurnal.","Biology. Seasonality: May- June, September-October.","Dispersal power. Macropterous. Fast runner.",
"Cicindela fulgida winonae Knudsen, 1985","Ecology. Stenotopic, hygrophilous, halophilous, paludicolous, epigean. Salt marshes along a river. Open ground; moist, saline soil. Diurnal.","Biology. Seasonality: unknown.","Dispersal power. Macropterous. Fast runner.",
"Cicindela fulgoris albilata Acciavatti, 1980","Ecology. Stenotopic, hygrophilous, halophilous, epigean. Salt flats and pond margins. Open ground; moist, saline soil. Both diurnal and nocturnal.","Biology. Seasonality: June, August-October.","Dispersal power. Macropterous. Attracted to artificial lights at night. Fast runner.",
"Cicindela fulgoris erronea Vaurie, 1951","Ecology. Stenotopic, riparian, hygrophilous, halophilous, epigean. Flats bordering ponds and lakes. Open ground; wet, muddy (usually) or sandy, saline soil. Both diurnal and nocturnal. Associated spec1~s: C. nigrocoerulea nigrocoerulea, C. sedecimpunctata sedecunpunctata, C. pimeriana, C. obsoleta santaclarae and C. marutha.","Biology. Seasonality: July- September.","Dispersal power. Macropterous. Attracted to artificial lights at night. Fast runner.",
"Cicindela fulgoris fulgoris Casey, 1913","Ecology. Eurytopic, halophilous, epigean (adult); fossorial (larva). Salt flats and alkali flats along lakes, permanent and temporary ponds, marshes, drainage ditches, and moist fields. Open ground; moist or dry, muddy or sandy, saline, bare or sparsely vegetated soil. Larval habitat: edges and flats of a playa; burrows (third-instar larva) range from 18 to 23.2 cm in depth (21.1 cm on average). Both diurnal and 'nocturnal; active from 8:00 A.M., peaking at 1:00 P.M.; forages and stilts at 30.2°C and 37.9°C respectively (AZ). Mean minimum thoracic temperature for coordinated walking, in the laboratory: J6.5°C. Associated species: C. willistoni sulfontis and C. marutha","Biology. Seasonality: June-September. Duration of life cycle: 2-3 years. Predaceous. Larval food, in the laboratory: springtails, adult and larval tenebrionids, and drosophilid flies. Larval parasites: bombyliid flies. Pyemotid mites associated with both adult and larval body. Defense mechanism: quickly runs in a zigzag manner instead of flying. Very wary.","Dispersal power. Macropterous. Attracted to artificial lights at night. Fast runner.",
"Cicindela gabbii G.H. Hom, 1866","Ecology. Stenotopic, coastal, hygrophilous, halophilous, epigean. Alkali flats, salt flats in estuarine areas, tidal flats, mud flats, salt marshes; also sea beaches. Open ground; wet (occasionally dry), saline soil consisting of dark-colored mud Adults tend to occur among grass. Both diurnal and nocturnal.","Biology. Seasonality: July-September. Defense mechanism: Escaping by quick flights; darting ahead and often seen floating backwards upon the ocean water near its shore habitat. Moderately wary.","Dispersal power. Macropterous. Good flyer. Attracted to artificial lights at night. Fast runner. Conservation status. Threatened species. Extinct over much of its former geographic distribution. Endangered by off-road vehicles.",
"Cicindela gratiosa Guerin-Meneville, 1840","Ecology. Stenotopic, silvicolous, xerophilous, psammophilous, epigean (adult); thermophobous, fossorial (larva). Paths, roads, fire lanes, openings, sand hills, and gullies situated in pine barrens (pine, oak); forest edges and adjoining fields; dry stream beds. Not associated with water. Open ground; sparsely vegetated soil consisting of dry, often gleaming white sand. Larval habitat: vertical burrows (55-11 0 cm deep) dug into dry sandy places mixed with clay. DiurnaL Extensive pale elytral maculations reduce excess body heat. Larva closing its burrow in response to increasing temperature. Associated species: C. abdominalis.","Biology. Seasonality: March-October, mostly June-July; ~~ SC, MaySeptember. Summer species. Defense mechanism: cryptic co~oratwn _ body color and white elytral maculatwns blend With the surrounding sand.","Dispersal power. Wing condition unknown. Fast runner.",
"Cicindela hamata lacerata Chaudoir, 1854","Ecology. Stenotopic, coastal, hygrophilous, hal,ophilous, epigean. Se~ beaches and salt flats. Close to the waters edge. Open ground, usually saline, bare or sparsely vegetated soil co~sisting of wet mud (mostly) or coarse sand, sometimes covered with seashells. Both diurnal and nocturnal.","Biology. Seasonality: April-November, mostly June. ,","Dispersal power. Macropterous. Often attracted to artificial hghts at night. Fast runner.",
"Cicindela hamata monti Vaurie, 1951","Ecology. Stenotopic, coastal, hygrophilous, halophilo~s, epigean. Salt flats bases of high areas in salt marshes, mud flats, tidal flats, muddy shor~s, lagoon edges, margins of tidal pools, creek shores, and sand~ beaches. Open ground; usually saline, bare or sparsely grass~d soil consisting of dark, wet mud (mostly) or of coarse sand. Dm~al. Gregarious. Associated species: C. severa severa. C. pamphzla, c. togata togata, C. trifasciata ascendens, and C. ocellata rectilatera.","Biology. Seasonality: April-October, mostly June. Defense mechamsm: escapes by running or by flying, only a meter or two when pursued.","Dispersal power. Macropterous. Weak flier. Fast runner.",
